chunks,put100time
1837000,833
1838000,658
1839000,1882
1840000,717
1841000,672
1842000,900
1843000,1066
1844000,735
1845000,1797
1846000,884
1847000,791
1848000,812
1849000,1265
1850000,689
1851000,1994
1852000,795
1853000,629
1854000,698
1855000,757
1856000,1269
1857000,2170
1858000,853
1859000,685
1860000,745
1861000,738
1862000,731
1863000,2137
1864000,734
1865000,643
1866000,640
1867000,905
1868000,894
1869000,687
1870000,1989
1871000,786
1872000,733
1873000,758
1874000,762
1875000,919
1876000,2547
1877000,690
1878000,566
1879000,631
1880000,858
1881000,778
1882000,886
1883000,1913
1884000,773
1885000,882
1886000,896
1887000,681
1888000,722
1889000,2374
1890000,772
1891000,807
1892000,757
1893000,876
1894000,973
1895000,2897
1896000,921
1897000,1352
1898000,1267
1899000,2401
1900000,779
1901000,767
1902000,679
1903000,655
1904000,690
1905000,679
1906000,37851
1907000,885
1908000,949
1909000,1097
1910000,917
1911000,1768
1912000,840
1913000,1131
1914000,819
1915000,765
1916000,665
1917000,2254
1918000,730
1919000,718
1920000,717
1921000,841
1922000,855
1923000,715
1924000,1708
1925000,735
1926000,725
1927000,595
1928000,716
1929000,642
1930000,710
1931000,11844
1932000,571
1933000,570
1934000,502
1935000,590
1936000,611
1937000,585
1938000,674
1939000,2315
1940000,536
1941000,543
1942000,585
1943000,618
1944000,627
1945000,524
1946000,558
1947000,639
1948000,1950
1949000,551
1950000,670
1951000,631
1952000,583
1953000,523
1954000,548
1955000,494
1956000,570
1957000,68560
1958000,1430
1959000,1599
1960000,4598
1961000,3913
1962000,1502
1963000,2119
1964000,3980
1965000,2319
1966000,4115
1967000,5089
1968000,1934
1969000,4343
1970000,2064
1971000,1613
1972000,3357
1973000,1519
1974000,2146
1975000,3644
1976000,45876
1977000,2526
1978000,5568
1979000,1530
1980000,1770
1981000,2764
1982000,1620
1983000,1952
1984000,3704
1985000,1950
1986000,1846
1987000,3608
1988000,1546
1989000,3513
1990000,1176
1991000,1536
1992000,1478
1993000,3463
1994000,1728
1995000,3151
1996000,1666
1997000,1895
1998000,4394
1999000,3634
2000000,5244
